waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=1.8e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=1.8e-07) Y,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=3.6e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=3.6e-07) Y,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=5.4e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=5.4e-07) Y,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=7.2e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=7.2e-07) Y
-0.2092189179411998,2.53384534491061e-08,-0.204962603401335,2.548605046100867e-08,-0.2113217269234013,2.54120789701618e-08,-0.2155981244994944,2.533629036562601e-08
-0.2101020387953354,2.592273438725013e-08,-0.2058429154501484,2.60661959108697e-08,-0.2122166825078262,2.599488777345432e-08,-0.2164543034642457,2.588745226211476e-08
-0.2109878461240358,2.652211967741081e-08,-0.2067330951977824,2.666600781916829e-08,-0.2131123616982071,2.659124053896971e-08,-0.2173552024773904,2.648002101095696e-08
-0.2118738868018835,2.713531340612687e-08,-0.2076235617944964,2.727954601206371e-08,-0.214008376141591,2.720118604367436e-08,-0.21825647716695,2.708605901782693e-08
-0.2127601617503811,2.77626320969971e-08,-0.2085143173645372,2.790712236388355e-08,-0.2149047285087164,2.782503161179349e-08,-0.2191581307769668,2.770587008768624e-08
-0.2136466719017982,2.840439946826861e-08,-0.2094053640034488,2.854905573110568e-08,-0.2158014214925434,2.846309145123144e-08,-0.2200601663294823,2.833976465728895e-08
-0.2145334182137812,2.906094660511603e-08,-0.210296703834153,2.92056721462474e-08,-0.2166984578103033,2.911568680818525e-08,-0.2209625868666369,2.898806010415382e-08
-0.2154204016692771,2.973261212570779e-08,-0.2111883390067875,2.987730497773762e-08,-0.2175958402032321,2.978314612364151e-08,-0.2218653954502592,2.965108090118304e-08
-0.2163076232764658,3.041974235097753e-08,-0.2120802716985433,3.056429509332299e-08,-0.218493571436297,3.04658051933566e-08,-0.2227685951614478,3.032915877476232e-08
-0.217195084068694,3.112269147817289e-08,-0.2129725041135044,3.126699102708808e-08,-0.2193916542979193,3.116400733140126e-08,-0.2236721891001461,3.102263286642301e-08
-0.218082785104414,3.184182175826835e-08,-0.2138650384824876,3.198574915017106e-08,-0.2202900915996899,3.187810353735038e-08,-0.2245761803847055,3.173184989814753e-08
-0.2189707274671278,3.257750367732919e-08,-0.2147578770628806,3.272093384525362e-08,-0.2211888861760818,3.260845266720164e-08,-0.2254805721514384,3.245716434140477e-08
-0.2198589122653316,3.333011614190731e-08,-0.2156510221384822,3.347291768491317e-08,-0.2220880408841541,3.335542160810819e-08,-0.2263853675541618,3.319893859000292e-08
-0.2207473406324694,3.410004666856636e-08,-0.2165444760193391,3.424208161391993e-08,-0.2229875586032515,3.411938545701318e-08,-0.2272905697637315,3.395754313685062e-08
-0.2216360137268836,3.488769157761604e-08,-0.217438241041584,3.502881513556993e-08,-0.2238874422346948,3.490072770327425e-08,-0.2281961819675624,3.473335675471548e-08
-0.2225249327317744,3.569345619115952e-08,-0.2183323195672711,3.58335165021419e-08,-0.2247876947014666,3.569984041537291e-08,-0.2291022073691407,3.552676668107791e-08
-0.2234140988551603,3.651775503554086e-08,-0.2192267139842103,3.665659290957175e-08,-0.2256883189478893,3.651712443180095e-08,-0.2300086491875213,3.633816880717343e-08
-0.2243035133298399,3.736101204828978e-08,-0.2201214267057985,3.749846069643614e-08,-0.2265893179392919,3.735298955621777e-08,-0.2309155106568177,3.716796787132683e-08
-0.2251931774133582,3.82236607896669e-08,-0.2210164601708513,3.835954554734788e-08,-0.2274906946616744,3.820785475698391e-08,-0.2318227950256746,3.801657765667434e-08
-0.2260830923879766,3.910614465890711e-08,-0.2219118168434291,3.924028270085386e-08,-0.2283924521213587,3.908214837116533e-08,-0.2327305055567335,3.888442119338467e-08
-0.2269732595606433,4.00089171152655e-08,-0.222807499212661,4.01411171619422e-08,-0.229294593344634,3.997630831311657e-08,-0.2336386455260804,3.977193096547815e-08
